,기사작성일,기사제목,기사주소
152,2020.12.01.,"나홀로족 노린 몸캠피싱 증가…'올세이프, 24시간 피씽 상담 진행'",http://www.kgdm.co.kr/news/articleView.html?idxno=727629
153,2020.12.08.,코로나시대 한국 법 제정ㆍ사회 동향 발표,http://www.gnmaeil.com/news/articleView.html?idxno=462285
154,2020.11.30.,[단독]'딸이 보낸 앱 깔았는데 폰이 제멋대로…' 3000만원 털렸다,http://news.mt.co.kr/mtview.php?no=2020113009340472659
155,2020.11.26.,"경찰청, 편의점업계와 힘 모아 메신저피싱 예방 위한 공동 홍보 추진",http://www.boannews.com/media/view.asp?idx=92921&kind=
156,2020.11.25.,"경찰, 편의점과 함께 메신저피싱 예방한다",http://www.mrepublic.co.kr/news/articleView.html?idxno=57332
157,2020.11.23.,"'상품권·기프트카드' 메신저피싱 기승…경찰, 예방 나선다",http://www.newsis.com/view/?id=NISX20201122_0001242662&cID=10201&pID=10200
158,2020.11.22.,"몸캠피싱 대응센터 시큐어앱, 피씽 ‘피해 예방 수칙’ 공개해 피해자 지원에 앞장서",http://news.heraldcorp.com/view.php?ud=20201120000771
159,2020.11.23.,'스토킹' 솜방망이 처벌 논란,http://www.ilyosisa.co.kr/news/articleView.html?idxno=222965
160,2020.12.07.,"와이즈유 박지현 교수, 인니 UII大 국제학술대회 기조연설",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20201207.99099002025
161,2020.12.05.,"몸캠피싱 차단 올세이프, ‘나홀로족’ 노린 피씽 증가 추세에 24시간 상담 진행",http://www.kjdaily.com/read.php3?aid=1607130000532289203
162,2020.12.01.,"나홀로족 노린 몸캠피싱 증가…'올세이프, 24시간 피씽 상담 진행'",http://www.kgdm.co.kr/news/articleView.html?idxno=727629
163,2020.12.08.,코로나시대 한국 법 제정ㆍ사회 동향 발표,http://www.gnmaeil.com/news/articleView.html?idxno=462285
164,2020.11.30.,[단독]'딸이 보낸 앱 깔았는데 폰이 제멋대로…' 3000만원 털렸다,http://news.mt.co.kr/mtview.php?no=2020113009340472659
165,2020.11.26.,"경찰청, 편의점업계와 힘 모아 메신저피싱 예방 위한 공동 홍보 추진",http://www.boannews.com/media/view.asp?idx=92921&kind=
166,2020.11.25.,"경찰, 편의점과 함께 메신저피싱 예방한다",http://www.mrepublic.co.kr/news/articleView.html?idxno=57332
167,2020.11.23.,"'상품권·기프트카드' 메신저피싱 기승…경찰, 예방 나선다",http://www.newsis.com/view/?id=NISX20201122_0001242662&cID=10201&pID=10200
168,2020.11.22.,"몸캠피싱 대응센터 시큐어앱, 피씽 ‘피해 예방 수칙’ 공개해 피해자 지원에 앞장서",http://news.heraldcorp.com/view.php?ud=20201120000771
169,2020.11.23.,'스토킹' 솜방망이 처벌 논란,http://www.ilyosisa.co.kr/news/articleView.html?idxno=222965
170,2020.11.26.,"경찰청, 편의점과 함께 메신저피싱 예방한다",http://www.epnc.co.kr/news/articleView.html?idxno=109678
171,2020.11.23.,"'상품권·기프트카드' 메신저피싱 기승…경찰, 예방 나선다",http://www.newsis.com/view/?id=NISX20201122_0001242662&cID=10201&pID=10200
172,2020.11.22.,"몸캠피싱 대응센터 시큐어앱, 피씽 ‘피해 예방 수칙’ 공개해 피해자 지원에 앞장서",http://news.heraldcorp.com/view.php?ud=20201120000771
173,2020.11.23.,'스토킹' 솜방망이 처벌 논란,http://www.ilyosisa.co.kr/news/articleView.html?idxno=222965
174,2020.11.17.,"몸캠피싱 대응센터 케어라풋, 영상 유출 차단으로 피씽 피해자 도와",http://www.thepublic.kr/news/newsview.php?ncode=1065577178746413
175,2020.11.18.,"몸캠피싱 대응센터 ‘시큐어앱’, 피씽 피해 예방을 위해 조언 알려",http://news.heraldcorp.com/view.php?ud=20201117000069
176,2020.11.16.,메신저·몸캠 피싱 등도 한 경찰서에서 병합수사한다,http://news.heraldcorp.com/view.php?ud=20201116000796
177,2020.11.24.,스미싱 주의보에 원천차단 나선 시중銀,http://www.seoulwire.com/news/articleView.html?idxno=430379
178,2020.11.23.,몸캠피싱 전문 업체 ‘올세이프’ 스마트폰 피씽 조언 알려,http://news.heraldcorp.com/view.php?ud=20201123000074
179,2020.12.07.,"와이즈유 박지현 교수, 인니 UII대학 국제학술대회 기조연설",http://www.dhnews.co.kr/news/articleView.html?idxno=132985
180,2020.11.18.,"몸캠피싱 대응센터 '시큐어앱', 피씽 피해 예방하기 위한 수칙 공개",http://www.mhns.co.kr/news/articleView.html?idxno=421466
181,2020.11.16.,메신저·몸캠 피싱 등도 한 경찰서에서 병합수사한다,http://news.heraldcorp.com/view.php?ud=20201116000796
182,2020.11.24.,스미싱 주의보에 원천차단 나선 시중銀,http://www.seoulwire.com/news/articleView.html?idxno=430379
183,2020.11.23.,몸캠피싱 전문 업체 ‘올세이프’ 스마트폰 피씽 조언 알려,http://news.heraldcorp.com/view.php?ud=20201123000074
184,2020.12.07.,"와이즈유 박지현 교수, 인니 UII대학 국제학술대회 기조연설",http://www.dhnews.co.kr/news/articleView.html?idxno=132985
185,2020.11.16.,"""박원순 성추행 묵인 의혹 필요성 인정되면 압색 재신청 검토""",https://www.news1.kr/articles/?4119992
